invoice_code,customer_code,product_code,client_code,invoice_date,product_price,product_cost,sold_quantity,sub_total,discount,net_sales,tax_amount,total_amount,net_profit_or_gross_amount,net_cash_flow
2026-09-17_1085,1,1009,4000,2026-08-18,60.0,30.0,10,600.0,30.0,570.0,57.0,627.0,270.0,270.0
2026-09-17_1085,1,1025,4000,2026-08-18,67.0,43.0,9,603.0,30.15,572.85,57.29,630.14,185.85,185.85
2026-09-25_1086,37,1046,4000,2026-08-26,92.0,72.0,9,828.0,41.4,786.6,78.66,865.26,138.6,138.6
2026-09-25_1086,37,1033,4000,2026-08-26,72.0,48.0,2,144.0,7.2,136.8,13.68,150.48,40.8,40.8
2026-09-10_1087,21,1075,4000,2026-08-11,80.0,64.0,8,640.0,32.0,608.0,60.8,668.8,96.0,96.0
2026-09-10_1087,21,1055,4000,2026-08-11,51.0,14.0,5,255.0,12.75,242.25,24.23,266.48,172.25,172.25
2026-09-24_1088,4,1017,4000,2026-08-25,100.0,75.0,4,400.0,20.0,380.0,38.0,418.0,80.0,80.0
2026-09-24_1088,4,1035,4000,2026-08-25,88.0,76.0,5,440.0,22.0,418.0,41.8,459.8,38.0,38.0
2026-09-09_1089,6,1046,4000,2026-08-10,92.0,72.0,7,644.0,32.2,611.8,61.18,672.98,107.8,107.8
2026-09-09_1089,6,1003,4000,2026-08-10,84.0,66.0,2,168.0,8.4,159.6,15.96,175.56,27.6,27.6
2026-09-29_1090,32,1024,4000,2026-08-30,88.0,54.0,6,528.0,26.4,501.6,50.16,551.76,177.6,177.6
2026-09-29_1090,32,1062,4000,2026-08-30,60.0,47.0,2,120.0,6.0,114.0,11.4,125.4,20.0,20.0
2026-09-15_1091,35,1013,4000,2026-08-16,79.0,40.0,10,790.0,39.5,750.5,75.05,825.55,350.5,350.5
2026-09-15_1091,35,1051,4000,2026-08-16,97.0,81.0,5,485.0,24.25,460.75,46.08,506.83,55.75,55.75
2026-09-11_1092,24,1015,4000,2026-08-12,56.0,28.0,2,112.0,5.6,106.4,10.64,117.04,50.4,50.4
2026-09-11_1092,24,1047,4000,2026-08-12,85.0,74.0,5,425.0,21.25,403.75,40.38,444.13,33.75,33.75
2026-09-12_1093,50,1046,4000,2026-08-13,92.0,72.0,4,368.0,18.4,349.6,34.96,384.56,61.6,61.6
2026-09-12_1093,50,1016,4000,2026-08-13,65.0,30.0,4,260.0,13.0,247.0,24.7,271.7,127.0,127.0
2026-09-27_1094,20,1072,4000,2026-08-28,77.0,45.0,2,154.0,7.7,146.3,14.63,160.93,56.3,56.3
2026-09-27_1094,20,1077,4000,2026-08-28,84.0,62.0,8,672.0,33.6,638.4,63.84,702.24,142.4,142.4
2026-09-11_1095,10,1099,4000,2026-08-12,77.0,60.0,7,539.0,26.95,512.05,51.21,563.26,92.05,92.05
2026-09-11_1095,10,1053,4000,2026-08-12,65.0,49.0,1,65.0,3.25,61.75,6.18,67.93,12.75,12.75
2026-09-30_1096,35,1006,4000,2026-08-31,71.0,46.0,1,71.0,3.55,67.45,6.75,74.2,21.45,21.45
2026-09-30_1096,35,1057,4000,2026-08-31,65.0,39.0,5,325.0,16.25,308.75,30.88,339.63,113.75,113.75
2026-09-16_1097,1,1070,4000,2026-08-17,68.0,57.0,7,476.0,23.8,452.2,45.22,497.42,53.2,53.2
2026-09-16_1097,1,1059,4000,2026-08-17,62.0,51.0,2,124.0,6.2,117.8,11.78,129.58,15.8,15.8
2026-09-19_1098,3,1026,4000,2026-08-20,87.0,69.0,8,696.0,34.8,661.2,66.12,727.32,109.2,109.2
2026-09-19_1098,3,1085,4000,2026-08-20,83.0,46.0,1,83.0,4.15,78.85,7.89,86.74,32.85,32.85
2026-09-26_1099,9,1043,4000,2026-08-27,92.0,71.0,4,368.0,18.4,349.6,34.96,384.56,65.6,65.6
2026-09-26_1099,9,1029,4000,2026-08-27,82.0,61.0,1,82.0,4.1,77.9,7.79,85.69,16.9,16.9
2026-09-11_1100,10,1018,4000,2026-08-12,81.0,54.0,5,405.0,20.25,384.75,38.48,423.23,114.75,114.75
2026-09-11_1100,10,1052,4000,2026-08-12,89.0,77.0,10,890.0,44.5,845.5,84.55,930.05,75.5,75.5
2026-09-10_1101,21,1067,4000,2026-08-11,71.0,56.0,5,355.0,17.75,337.25,33.73,370.98,57.25,57.25
2026-09-10_1101,21,1079,4000,2026-08-11,64.0,39.0,4,256.0,12.8,243.2,24.32,267.52,87.2,87.2
2026-09-27_1102,21,1082,4000,2026-08-28,77.0,60.0,5,385.0,19.25,365.75,36.58,402.33,65.75,65.75
2026-09-27_1102,21,1021,4000,2026-08-28,82.0,45.0,5,410.0,20.5,389.5,38.95,428.45,164.5,164.5
2026-09-14_1103,34,1062,4000,2026-08-15,60.0,47.0,6,360.0,18.0,342.0,34.2,376.2,60.0,60.0
2026-09-14_1103,34,1023,4000,2026-08-15,62.0,44.0,4,248.0,12.4,235.6,23.56,259.16,59.6,59.6
2026-09-10_1104,43,1081,4000,2026-08-11,81.0,56.0,9,729.0,36.45,692.55,69.26,761.81,188.55,188.55
2026-09-10_1104,43,1050,4000,2026-08-11,58.0,26.0,1,58.0,2.9,55.1,5.51,60.61,29.1,29.1
2026-09-09_1105,41,1081,4000,2026-08-10,81.0,56.0,1,81.0,4.05,76.95,7.7,84.65,20.95,20.95
2026-09-09_1105,41,1095,4000,2026-08-10,98.0,88.0,10,980.0,49.0,931.0,93.1,1024.1,51.0,51.0
2026-10-01_1106,6,1027,4000,2026-09-01,71.0,32.0,3,213.0,10.65,202.35,20.24,222.59,106.35,106.35
2026-10-01_1106,6,1077,4000,2026-09-01,84.0,62.0,7,588.0,29.4,558.6,55.86,614.46,124.6,124.6
2026-09-30_1107,10,1093,4000,2026-08-31,55.0,22.0,7,385.0,19.25,365.75,36.58,402.33,211.75,211.75
2026-09-30_1107,10,1048,4000,2026-08-31,55.0,37.0,6,330.0,16.5,313.5,31.35,344.85,91.5,91.5
2026-09-07_1108,43,1007,4000,2026-08-08,81.0,54.0,5,405.0,20.25,384.75,38.48,423.23,114.75,114.75
2026-09-07_1108,43,1041,4000,2026-08-08,82.0,49.0,10,820.0,41.0,779.0,77.9,856.9,289.0,289.0
2026-09-06_1109,19,1038,4000,2026-08-07,77.0,55.0,2,154.0,7.7,146.3,14.63,160.93,36.3,36.3
2026-09-06_1109,19,1059,4000,2026-08-07,62.0,51.0,3,186.0,9.3,176.7,17.67,194.37,23.7,23.7
2026-10-03_1110,30,1054,4000,2026-09-03,56.0,29.0,2,112.0,5.6,106.4,10.64,117.04,48.4,48.4
2026-10-03_1110,30,1086,4000,2026-09-03,68.0,50.0,6,408.0,20.4,387.6,38.76,426.36,87.6,87.6
2026-10-02_1111,49,1071,4000,2026-09-02,77.0,39.0,4,308.0,15.4,292.6,29.26,321.86,136.6,136.6
2026-10-02_1111,49,1025,4000,2026-09-02,67.0,43.0,9,603.0,30.15,572.85,57.29,630.14,185.85,185.85
2026-09-22_1112,15,1064,4000,2026-08-23,67.0,34.0,5,335.0,16.75,318.25,31.83,350.08,148.25,148.25
2026-09-22_1112,15,1040,4000,2026-08-23,51.0,36.0,5,255.0,12.75,242.25,24.23,266.48,62.25,62.25
2026-09-19_1113,21,1055,4000,2026-08-20,51.0,14.0,9,459.0,22.95,436.05,43.61,479.66,310.05,310.05
2026-09-19_1113,21,1002,4000,2026-08-20,52.0,33.0,5,260.0,13.0,247.0,24.7,271.7,82.0,82.0
2026-09-22_1114,23,1044,4000,2026-08-23,83.0,49.0,7,581.0,29.05,551.95,55.2,607.15,208.95,208.95
2026-09-22_1114,23,1071,4000,2026-08-23,77.0,39.0,2,154.0,7.7,146.3,14.63,160.93,68.3,68.3
2026-09-24_1115,33,1039,4000,2026-08-25,89.0,52.0,5,445.0,22.25,422.75,42.28,465.03,162.75,162.75
2026-09-24_1115,33,1025,4000,2026-08-25,67.0,43.0,3,201.0,10.05,190.95,19.1,210.05,61.95,61.95
2026-09-12_1116,44,1040,4000,2026-08-13,51.0,36.0,5,255.0,12.75,242.25,24.23,266.48,62.25,62.25
2026-09-12_1116,44,1013,4000,2026-08-13,79.0,40.0,7,553.0,27.65,525.35,52.54,577.89,245.35,245.35
2026-10-02_1117,42,1033,4000,2026-09-02,72.0,48.0,3,216.0,10.8,205.2,20.52,225.72,61.2,61.2
2026-10-02_1117,42,1051,4000,2026-09-02,97.0,81.0,7,679.0,33.95,645.05,64.51,709.56,78.05,78.05
2026-09-30_1118,4,1094,4000,2026-08-31,82.0,72.0,2,164.0,8.2,155.8,15.58,171.38,11.8,11.8
2026-09-30_1118,4,1078,4000,2026-08-31,97.0,77.0,1,97.0,4.85,92.15,9.22,101.37,15.15,15.15
2026-09-07_1119,50,1073,4000,2026-08-08,58.0,30.0,10,580.0,29.0,551.0,55.1,606.1,251.0,251.0
2026-09-07_1119,50,1058,4000,2026-08-08,95.0,69.0,6,570.0,28.5,541.5,54.15,595.65,127.5,127.5
2026-09-11_1120,19,1010,4000,2026-08-12,82.0,58.0,3,246.0,12.3,233.7,23.37,257.07,59.7,59.7
2026-09-11_1120,19,1058,4000,2026-08-12,95.0,69.0,7,665.0,33.25,631.75,63.18,694.93,148.75,148.75
2026-09-10_1121,48,1000,4000,2026-08-11,70.0,46.0,10,700.0,35.0,665.0,66.5,731.5,205.0,205.0
2026-09-10_1121,48,1092,4000,2026-08-11,51.0,14.0,1,51.0,2.55,48.45,4.85,53.3,34.45,34.45
2026-09-22_1122,47,1037,4000,2026-08-23,90.0,55.0,4,360.0,18.0,342.0,34.2,376.2,122.0,122.0
2026-09-22_1122,47,1061,4000,2026-08-23,67.0,30.0,10,670.0,33.5,636.5,63.65,700.15,336.5,336.5
2026-09-11_1123,4,1020,4000,2026-08-12,74.0,37.0,2,148.0,7.4,140.6,14.06,154.66,66.6,66.6
2026-09-11_1123,4,1027,4000,2026-08-12,71.0,32.0,6,426.0,21.3,404.7,40.47,445.17,212.7,212.7
2026-09-27_1124,47,1093,4000,2026-08-28,55.0,22.0,8,440.0,22.0,418.0,41.8,459.8,242.0,242.0
2026-09-27_1124,47,1063,4000,2026-08-28,63.0,30.0,1,63.0,3.15,59.85,5.99,65.84,29.85,29.85
2026-09-26_1125,8,1069,4000,2026-08-27,55.0,37.0,9,495.0,24.75,470.25,47.03,517.28,137.25,137.25
2026-09-26_1125,8,1037,4000,2026-08-27,90.0,55.0,6,540.0,27.0,513.0,51.3,564.3,183.0,183.0
2026-09-14_1126,33,1004,4000,2026-08-15,93.0,67.0,1,93.0,4.65,88.35,8.84,97.19,21.35,21.35
2026-09-14_1126,33,1082,4000,2026-08-15,77.0,60.0,7,539.0,26.95,512.05,51.21,563.26,92.05,92.05
2026-10-02_1127,44,1017,4000,2026-09-02,100.0,75.0,4,400.0,20.0,380.0,38.0,418.0,80.0,80.0
2026-10-02_1127,44,1097,4000,2026-09-02,64.0,38.0,7,448.0,22.4,425.6,42.56,468.16,159.6,159.6
2026-09-29_1128,2,1043,4000,2026-08-30,92.0,71.0,10,920.0,46.0,874.0,87.4,961.4,164.0,164.0
2026-09-29_1128,2,1000,4000,2026-08-30,70.0,46.0,5,350.0,17.5,332.5,33.25,365.75,102.5,102.5
2026-09-30_1129,44,1089,4000,2026-08-31,53.0,15.0,9,477.0,23.85,453.15,45.32,498.47,318.15,318.15
2026-09-30_1129,44,1005,4000,2026-08-31,68.0,58.0,8,544.0,27.2,516.8,51.68,568.48,52.8,52.8
2026-10-01_1130,42,1035,4000,2026-09-01,88.0,76.0,4,352.0,17.6,334.4,33.44,367.84,30.4,30.4
2026-10-01_1130,42,1050,4000,2026-09-01,58.0,26.0,3,174.0,8.7,165.3,16.53,181.83,87.3,87.3
2026-09-29_1131,5,1061,4000,2026-08-30,67.0,30.0,10,670.0,33.5,636.5,63.65,700.15,336.5,336.5
2026-09-29_1131,5,1082,4000,2026-08-30,77.0,60.0,6,462.0,23.1,438.9,43.89,482.79,78.9,78.9
2026-09-23_1132,15,1096,4000,2026-08-24,51.0,39.0,6,306.0,15.3,290.7,29.07,319.77,56.7,56.7
2026-09-23_1132,15,1000,4000,2026-08-24,70.0,46.0,6,420.0,21.0,399.0,39.9,438.9,123.0,123.0
2026-10-02_1133,28,1020,4000,2026-09-02,74.0,37.0,1,74.0,3.7,70.3,7.03,77.33,33.3,33.3
2026-10-02_1133,28,1072,4000,2026-09-02,77.0,45.0,5,385.0,19.25,365.75,36.58,402.33,140.75,140.75
2026-09-24_1134,45,1014,4000,2026-08-25,74.0,59.0,8,592.0,29.6,562.4,56.24,618.64,90.4,90.4
2026-09-24_1134,45,1055,4000,2026-08-25,51.0,14.0,2,102.0,5.1,96.9,9.69,106.59,68.9,68.9
2026-09-29_1135,25,1045,4000,2026-08-30,84.0,54.0,10,840.0,42.0,798.0,79.8,877.8,258.0,258.0
2026-09-29_1135,25,1044,4000,2026-08-30,83.0,49.0,5,415.0,20.75,394.25,39.43,433.68,149.25,149.25
2026-09-28_1136,14,1083,4000,2026-08-29,81.0,44.0,4,324.0,16.2,307.8,30.78,338.58,131.8,131.8
2026-09-28_1136,14,1003,4000,2026-08-29,84.0,66.0,6,504.0,25.2,478.8,47.88,526.68,82.8,82.8
2026-09-22_1137,34,1005,4000,2026-08-23,68.0,58.0,2,136.0,6.8,129.2,12.92,142.12,13.2,13.2
2026-09-22_1137,34,1085,4000,2026-08-23,83.0,46.0,7,581.0,29.05,551.95,55.2,607.15,229.95,229.95
2026-09-18_1138,42,1030,4000,2026-08-19,58.0,46.0,5,290.0,14.5,275.5,27.55,303.05,45.5,45.5
2026-09-18_1138,42,1029,4000,2026-08-19,82.0,61.0,6,492.0,24.6,467.4,46.74,514.14,101.4,101.4
2026-09-22_1139,6,1009,4000,2026-08-23,60.0,30.0,6,360.0,18.0,342.0,34.2,376.2,162.0,162.0
2026-09-22_1139,6,1075,4000,2026-08-23,80.0,64.0,8,640.0,32.0,608.0,60.8,668.8,96.0,96.0
2026-09-21_1140,34,1006,4000,2026-08-22,71.0,46.0,4,284.0,14.2,269.8,26.98,296.78,85.8,85.8
2026-09-21_1140,34,1011,4000,2026-08-22,82.0,69.0,9,738.0,36.9,701.1,70.11,771.21,80.1,80.1
2026-09-19_1141,11,1018,4000,2026-08-20,81.0,54.0,2,162.0,8.1,153.9,15.39,169.29,45.9,45.9
2026-09-19_1141,11,1073,4000,2026-08-20,58.0,30.0,6,348.0,17.4,330.6,33.06,363.66,150.6,150.6
2026-09-18_1142,16,1057,4000,2026-08-19,65.0,39.0,3,195.0,9.75,185.25,18.53,203.78,68.25,68.25
2026-09-18_1142,16,1083,4000,2026-08-19,81.0,44.0,4,324.0,16.2,307.8,30.78,338.58,131.8,131.8
2026-09-18_1143,25,1037,4000,2026-08-19,90.0,55.0,7,630.0,31.5,598.5,59.85,658.35,213.5,213.5
2026-09-18_1143,25,1071,4000,2026-08-19,77.0,39.0,2,154.0,7.7,146.3,14.63,160.93,68.3,68.3
2026-09-29_1144,20,1014,4000,2026-08-30,74.0,59.0,3,222.0,11.1,210.9,21.09,231.99,33.9,33.9
2026-09-29_1144,20,1045,4000,2026-08-30,84.0,54.0,2,168.0,8.4,159.6,15.96,175.56,51.6,51.6
2026-09-05_1145,25,1092,4000,2026-08-06,51.0,14.0,2,102.0,5.1,96.9,9.69,106.59,68.9,68.9
2026-09-05_1145,25,1049,4000,2026-08-06,75.0,54.0,10,750.0,37.5,712.5,71.25,783.75,172.5,172.5
2026-09-19_1146,38,1052,4000,2026-08-20,89.0,77.0,1,89.0,4.45,84.55,8.46,93.01,7.55,7.55
2026-09-19_1146,38,1075,4000,2026-08-20,80.0,64.0,9,720.0,36.0,684.0,68.4,752.4,108.0,108.0
2026-10-02_1147,24,1010,4000,2026-09-02,82.0,58.0,10,820.0,41.0,779.0,77.9,856.9,199.0,199.0
2026-10-02_1147,24,1011,4000,2026-09-02,82.0,69.0,6,492.0,24.6,467.4,46.74,514.14,53.4,53.4
2026-09-22_1148,13,1091,4000,2026-08-23,91.0,80.0,8,728.0,36.4,691.6,69.16,760.76,51.6,51.6
2026-09-22_1148,13,1089,4000,2026-08-23,53.0,15.0,10,530.0,26.5,503.5,50.35,553.85,353.5,353.5
2026-09-27_1149,2,1028,4000,2026-08-28,53.0,27.0,9,477.0,23.85,453.15,45.32,498.47,210.15,210.15
2026-09-27_1149,2,1036,4000,2026-08-28,95.0,76.0,9,855.0,42.75,812.25,81.23,893.48,128.25,128.25
2026-09-27_1150,34,1089,4000,2026-08-28,53.0,15.0,3,159.0,7.95,151.05,15.11,166.16,106.05,106.05
2026-09-27_1150,34,1047,4000,2026-08-28,85.0,74.0,6,510.0,25.5,484.5,48.45,532.95,40.5,40.5
2026-09-09_1151,4,1034,4000,2026-08-10,50.0,17.0,1,50.0,2.5,47.5,4.75,52.25,30.5,30.5
2026-09-09_1151,4,1043,4000,2026-08-10,92.0,71.0,5,460.0,23.0,437.0,43.7,480.7,82.0,82.0
2026-09-21_1152,18,1067,4000,2026-08-22,71.0,56.0,3,213.0,10.65,202.35,20.24,222.59,34.35,34.35
2026-09-21_1152,18,1006,4000,2026-08-22,71.0,46.0,10,710.0,35.5,674.5,67.45,741.95,214.5,214.5
2026-09-23_1153,28,1072,4000,2026-08-24,77.0,45.0,7,539.0,26.95,512.05,51.21,563.26,197.05,197.05
2026-09-23_1153,28,1019,4000,2026-08-24,100.0,72.0,4,400.0,20.0,380.0,38.0,418.0,92.0,92.0
2026-09-25_1154,15,1057,4000,2026-08-26,65.0,39.0,8,520.0,26.0,494.0,49.4,543.4,182.0,182.0
2026-09-25_1154,15,1016,4000,2026-08-26,65.0,30.0,5,325.0,16.25,308.75,30.88,339.63,158.75,158.75
2026-09-29_1155,36,1074,4000,2026-08-30,88.0,74.0,10,880.0,44.0,836.0,83.6,919.6,96.0,96.0
2026-09-29_1155,36,1069,4000,2026-08-30,55.0,37.0,3,165.0,8.25,156.75,15.68,172.43,45.75,45.75
2026-09-05_1156,48,1088,4000,2026-08-06,82.0,58.0,10,820.0,41.0,779.0,77.9,856.9,199.0,199.0
2026-09-05_1156,48,1035,4000,2026-08-06,88.0,76.0,1,88.0,4.4,83.6,8.36,91.96,7.6,7.6
2026-09-20_1157,45,1048,4000,2026-08-21,55.0,37.0,3,165.0,8.25,156.75,15.68,172.43,45.75,45.75
2026-09-20_1157,45,1098,4000,2026-08-21,72.0,37.0,7,504.0,25.2,478.8,47.88,526.68,219.8,219.8
2026-09-12_1158,43,1037,4000,2026-08-13,90.0,55.0,6,540.0,27.0,513.0,51.3,564.3,183.0,183.0
2026-09-12_1158,43,1009,4000,2026-08-13,60.0,30.0,1,60.0,3.0,57.0,5.7,62.7,27.0,27.0
2026-10-01_1159,33,1054,4000,2026-09-01,56.0,29.0,4,224.0,11.2,212.8,21.28,234.08,96.8,96.8
2026-10-01_1159,33,1062,4000,2026-09-01,60.0,47.0,5,300.0,15.0,285.0,28.5,313.5,50.0,50.0
2026-09-07_1160,20,1024,4000,2026-08-08,88.0,54.0,5,440.0,22.0,418.0,41.8,459.8,148.0,148.0
2026-09-07_1160,20,1095,4000,2026-08-08,98.0,88.0,5,490.0,24.5,465.5,46.55,512.05,25.5,25.5
2026-09-22_1161,33,1075,4000,2026-08-23,80.0,64.0,1,80.0,4.0,76.0,7.6,83.6,12.0,12.0
2026-09-22_1161,33,1096,4000,2026-08-23,51.0,39.0,8,408.0,20.4,387.6,38.76,426.36,75.6,75.6
2026-09-19_1162,37,1006,4000,2026-08-20,71.0,46.0,6,426.0,21.3,404.7,40.47,445.17,128.7,128.7
2026-09-19_1162,37,1035,4000,2026-08-20,88.0,76.0,1,88.0,4.4,83.6,8.36,91.96,7.6,7.6
2026-10-03_1163,25,1052,4000,2026-09-03,89.0,77.0,10,890.0,44.5,845.5,84.55,930.05,75.5,75.5
2026-10-03_1163,25,1081,4000,2026-09-03,81.0,56.0,2,162.0,8.1,153.9,15.39,169.29,41.9,41.9
2026-09-13_1164,42,1024,4000,2026-08-14,88.0,54.0,6,528.0,26.4,501.6,50.16,551.76,177.6,177.6
2026-09-13_1164,42,1067,4000,2026-08-14,71.0,56.0,1,71.0,3.55,67.45,6.75,74.2,11.45,11.45
2026-09-20_1165,48,1062,4000,2026-08-21,60.0,47.0,4,240.0,12.0,228.0,22.8,250.8,40.0,40.0
2026-09-20_1165,48,1075,4000,2026-08-21,80.0,64.0,4,320.0,16.0,304.0,30.4,334.4,48.0,48.0
2026-09-06_1166,44,1057,4000,2026-08-07,65.0,39.0,7,455.0,22.75,432.25,43.23,475.48,159.25,159.25
2026-09-06_1166,44,1028,4000,2026-08-07,53.0,27.0,6,318.0,15.9,302.1,30.21,332.31,140.1,140.1
2026-09-14_1167,16,1055,4000,2026-08-15,51.0,14.0,5,255.0,12.75,242.25,24.23,266.48,172.25,172.25
2026-09-14_1167,16,1029,4000,2026-08-15,82.0,61.0,2,164.0,8.2,155.8,15.58,171.38,33.8,33.8
2026-09-15_1168,5,1036,4000,2026-08-16,95.0,76.0,8,760.0,38.0,722.0,72.2,794.2,114.0,114.0
2026-09-15_1168,5,1091,4000,2026-08-16,91.0,80.0,4,364.0,18.2,345.8,34.58,380.38,25.8,25.8
2026-09-06_1169,19,1081,4000,2026-08-07,81.0,56.0,3,243.0,12.15,230.85,23.09,253.94,62.85,62.85
2026-09-06_1169,19,1051,4000,2026-08-07,97.0,81.0,6,582.0,29.1,552.9,55.29,608.19,66.9,66.9
2026-09-09_1170,23,1052,4000,2026-08-10,89.0,77.0,2,178.0,8.9,169.1,16.91,186.01,15.1,15.1
2026-09-09_1170,23,1031,4000,2026-08-10,62.0,50.0,8,496.0,24.8,471.2,47.12,518.32,71.2,71.2
2026-09-24_1171,1,1056,4000,2026-08-25,57.0,47.0,5,285.0,14.25,270.75,27.08,297.83,35.75,35.75
2026-09-24_1171,1,1044,4000,2026-08-25,83.0,49.0,4,332.0,16.6,315.4,31.54,346.94,119.4,119.4
2026-09-21_1172,30,1096,4000,2026-08-22,51.0,39.0,4,204.0,10.2,193.8,19.38,213.18,37.8,37.8
2026-09-21_1172,30,1047,4000,2026-08-22,85.0,74.0,5,425.0,21.25,403.75,40.38,444.13,33.75,33.75
2026-09-13_1173,33,1082,4000,2026-08-14,77.0,60.0,2,154.0,7.7,146.3,14.63,160.93,26.3,26.3
2026-09-13_1173,33,1084,4000,2026-08-14,77.0,45.0,9,693.0,34.65,658.35,65.84,724.19,253.35,253.35
2026-09-13_1174,13,1041,4000,2026-08-14,82.0,49.0,6,492.0,24.6,467.4,46.74,514.14,173.4,173.4
2026-09-13_1174,13,1019,4000,2026-08-14,100.0,72.0,10,1000.0,50.0,950.0,95.0,1045.0,230.0,230.0
2026-09-06_1175,11,1070,4000,2026-08-07,68.0,57.0,10,680.0,34.0,646.0,64.6,710.6,76.0,76.0
2026-09-06_1175,11,1002,4000,2026-08-07,52.0,33.0,9,468.0,23.4,444.6,44.46,489.06,147.6,147.6
2026-09-20_1176,29,1002,4000,2026-08-21,52.0,33.0,1,52.0,2.6,49.4,4.94,54.34,16.4,16.4
2026-09-20_1176,29,1010,4000,2026-08-21,82.0,58.0,8,656.0,32.8,623.2,62.32,685.52,159.2,159.2
2026-09-28_1177,13,1037,4000,2026-08-29,90.0,55.0,4,360.0,18.0,342.0,34.2,376.2,122.0,122.0
2026-09-28_1177,13,1070,4000,2026-08-29,68.0,57.0,9,612.0,30.6,581.4,58.14,639.54,68.4,68.4
2026-09-05_1178,23,1066,4000,2026-08-06,94.0,78.0,2,188.0,9.4,178.6,17.86,196.46,22.6,22.6
2026-09-05_1178,23,1053,4000,2026-08-06,65.0,49.0,5,325.0,16.25,308.75,30.88,339.63,63.75,63.75
2026-09-18_1179,45,1002,4000,2026-08-19,52.0,33.0,3,156.0,7.8,148.2,14.82,163.02,49.2,49.2
2026-09-18_1179,45,1064,4000,2026-08-19,67.0,34.0,3,201.0,10.05,190.95,19.1,210.05,88.95,88.95
2026-09-17_1180,7,1083,4000,2026-08-18,81.0,44.0,5,405.0,20.25,384.75,38.48,423.23,164.75,164.75
2026-09-17_1180,7,1089,4000,2026-08-18,53.0,15.0,4,212.0,10.6,201.4,20.14,221.54,141.4,141.4
2026-09-14_1181,4,1024,4000,2026-08-15,88.0,54.0,4,352.0,17.6,334.4,33.44,367.84,118.4,118.4
2026-09-14_1181,4,1094,4000,2026-08-15,82.0,72.0,6,492.0,24.6,467.4,46.74,514.14,35.4,35.4
2026-09-12_1182,22,1059,4000,2026-08-13,62.0,51.0,9,558.0,27.9,530.1,53.01,583.11,71.1,71.1
2026-09-12_1182,22,1002,4000,2026-08-13,52.0,33.0,6,312.0,15.6,296.4,29.64,326.04,98.4,98.4
2026-09-25_1183,26,1067,4000,2026-08-26,71.0,56.0,10,710.0,35.5,674.5,67.45,741.95,114.5,114.5
2026-09-25_1183,26,1020,4000,2026-08-26,74.0,37.0,4,296.0,14.8,281.2,28.12,309.32,133.2,133.2
2026-09-26_1184,46,1002,4000,2026-08-27,52.0,33.0,10,520.0,26.0,494.0,49.4,543.4,164.0,164.0
2026-09-26_1184,46,1063,4000,2026-08-27,63.0,30.0,1,63.0,3.15,59.85,5.99,65.84,29.85,29.85
2026-09-07_1185,19,1071,4000,2026-08-08,77.0,39.0,1,77.0,3.85,73.15,7.32,80.47,34.15,34.15
2026-09-07_1185,19,1070,4000,2026-08-08,68.0,57.0,4,272.0,13.6,258.4,25.84,284.24,30.4,30.4
2026-09-29_1186,3,1037,4000,2026-08-30,90.0,55.0,9,810.0,40.5,769.5,76.95,846.45,274.5,274.5
2026-09-29_1186,3,1011,4000,2026-08-30,82.0,69.0,3,246.0,12.3,233.7,23.37,257.07,26.7,26.7
2026-10-03_1187,5,1009,4000,2026-09-03,60.0,30.0,2,120.0,6.0,114.0,11.4,125.4,54.0,54.0
2026-10-03_1187,5,1062,4000,2026-09-03,60.0,47.0,2,120.0,6.0,114.0,11.4,125.4,20.0,20.0
2026-09-29_1188,20,1021,4000,2026-08-30,82.0,45.0,3,246.0,12.3,233.7,23.37,257.07,98.7,98.7
2026-09-29_1188,20,1038,4000,2026-08-30,77.0,55.0,7,539.0,26.95,512.05,51.21,563.26,127.05,127.05
2026-09-28_1189,39,1086,4000,2026-08-29,68.0,50.0,1,68.0,3.4,64.6,6.46,71.06,14.6,14.6
2026-09-28_1189,39,1073,4000,2026-08-29,58.0,30.0,4,232.0,11.6,220.4,22.04,242.44,100.4,100.4
2026-09-10_1190,50,1042,4000,2026-08-11,59.0,31.0,4,236.0,11.8,224.2,22.42,246.62,100.2,100.2
2026-09-10_1190,50,1096,4000,2026-08-11,51.0,39.0,1,51.0,2.55,48.45,4.85,53.3,9.45,9.45
2026-09-25_1191,1,1025,4000,2026-08-26,67.0,43.0,5,335.0,16.75,318.25,31.83,350.08,103.25,103.25
2026-09-25_1191,1,1040,4000,2026-08-26,51.0,36.0,9,459.0,22.95,436.05,43.61,479.66,112.05,112.05
2026-09-21_1192,41,1000,4000,2026-08-22,70.0,46.0,5,350.0,17.5,332.5,33.25,365.75,102.5,102.5
2026-09-21_1192,41,1089,4000,2026-08-22,53.0,15.0,2,106.0,5.3,100.7,10.07,110.77,70.7,70.7
2026-09-11_1193,44,1044,4000,2026-08-12,83.0,49.0,3,249.0,12.45,236.55,23.66,260.21,89.55,89.55
2026-09-11_1193,44,1003,4000,2026-08-12,84.0,66.0,4,336.0,16.8,319.2,31.92,351.12,55.2,55.2
2026-09-17_1194,10,1009,4000,2026-08-18,60.0,30.0,10,600.0,30.0,570.0,57.0,627.0,270.0,270.0
2026-09-17_1194,10,1079,4000,2026-08-18,64.0,39.0,7,448.0,22.4,425.6,42.56,468.16,152.6,152.6
